name,year,total_usage,peak_min,prev_max,post_max,is_peak
Elizabeth,1943,11646,9956,9805,15120,false
Elizabeth,1944,11038,10271,9956,16023,false
Elizabeth,1945,10337,10337,10271,16092,false
Elizabeth,1946,11752,10337,11182,16587,false
Elizabeth,1947,13441,10337,11646,16712,false
Elizabeth,1948,13213,10337,11646,16712,false
Elizabeth,1949,13712,11752,11646,17505,false
Elizabeth,1950,14349,13213,11752,18540,false
Elizabeth,1951,15120,13213,13441,18540,false
Elizabeth,1952,16023,13712,13441,18880,false
Elizabeth,1953,16092,14349,13712,18880,false
Elizabeth,1954,16587,15120,14349,18880,false
Elizabeth,1955,16712,16023,15120,18880,false
Elizabeth,1956,16340,16092,16023,18880,false
Elizabeth,1957,17505,16340,16092,18878,false
Elizabeth,1958,18540,16340,16587,17814,false
Elizabeth,1959,18451,16340,16712,17610,false
Elizabeth,1960,18880,17505,16712,17296,true
Elizabeth,1961,18878,17296,17505,16338,false
Elizabeth,1962,17814,16338,18540,16140,false
Elizabeth,1963,17610,15904,18540,16140,false
Elizabeth,1964,17296,15904,18880,15314,false
Elizabeth,1965,16338,14904,18880,15314,false
Elizabeth,1966,15904,14904,18880,15152,false
Elizabeth,1967,16140,14904,18880,13627,false
Elizabeth,1968,14904,13627,18880,13579,false
Elizabeth,1969,15314,12213,18878,16461,false
Elizabeth,1970,15152,12213,17814,16850,false
Elizabeth,1971,13627,12213,17610,18115,false
Elizabeth,1972,12213,12213,17296,19557,false
Elizabeth,1973,12365,12213,16338,20213,false
Elizabeth,1974,12294,12213,16140,20558,false
Elizabeth,1975,12491,12213,16140,20558,false
Elizabeth,1976,13579,12294,15314,20558,false
Elizabeth,1977,16461,12294,15314,20594,false
Elizabeth,1978,16850,12491,15152,20594,false
Elizabeth,1979,18115,13579,13627,20594,false
Elizabeth,1980,19557,16461,13579,20594,false
Elizabeth,1981,20213,16850,16461,20594,false
Elizabeth,1982,20558,18115,16850,20802,false
Elizabeth,1983,19896,19123,18115,20802,false
Elizabeth,1984,20409,18672,19557,20802,false
Elizabeth,1985,20594,18672,20213,20802,false
Elizabeth,1986,19123,18672,20558,20802,false
Elizabeth,1987,18672,18672,20558,20434,false
Elizabeth,1988,20094,18672,20558,19066,false
Elizabeth,1989,20396,18672,20594,17590,false
Elizabeth,1990,20802,17590,20594,16796,false
Elizabeth,1991,20434,16796,20594,16198,false
Elizabeth,1992,19066,16198,20594,16002,false
Elizabeth,1993,17590,16002,20594,15427,false
Elizabeth,1994,16796,15427,20802,15341,false
Elizabeth,1995,16198,15186,20802,15341,false
Elizabeth,1996,16002,15186,20802,15099,false
Elizabeth,1997,15427,15099,20802,14784,false
Elizabeth,1998,15186,14784,20802,14600,false
Elizabeth,1999,15341,14600,20434,14108,false
Elizabeth,2000,15099,14108,19066,13608,false
Elizabeth,2001,14784,13608,17590,13055,false
Elizabeth,2002,14600,12729,16796,13055,false
Elizabeth,2003,14108,12425,16198,13055,false
Elizabeth,2004,13608,12425,16002,12007,false
Elizabeth,2005,12729,12007,15427,11029,false
Elizabeth,2006,12425,11029,15341,10260,false
Elizabeth,2007,13055,10260,15341,10084,false
Elizabeth,2008,12007,10084,15099,9724,false
Elizabeth,2009,11029,9703,14784,9724,false
Elizabeth,2010,10260,9448,14600,9724,false
Elizabeth,2011,10084,9448,14108,9724,false
Elizabeth,2012,9703,9448,13608,9542,false
Elizabeth,2013,9448,9448,13055,8915,false
Elizabeth,2014,9557,8915,13055,,false
Elizabeth,2015,9724,8915,13055,,false
Elizabeth,2016,9542,8915,12007,,false
Elizabeth,2017,8915,8915,11029,,false
Greg,1925,5,5,,105,false
Greg,1936,7,5,,138,false
Greg,1937,7,5,,313,false
Greg,1938,13,5,,756,false
Greg,1939,18,7,5,1295,false
Greg,1940,21,7,7,1295,false
Greg,1941,24,13,7,1295,false
Greg,1942,60,18,13,1295,false
Greg,1943,105,21,18,1295,false
Greg,1944,138,24,21,1160,false
Greg,1945,313,60,24,835,false
Greg,1946,756,105,60,926,false
Greg,1947,1295,138,105,1149,false
Greg,1948,1160,313,138,1579,false
Greg,1949,835,703,313,2963,false
Greg,1950,766,703,756,3786,false
Greg,1951,703,703,1295,4636,false
Greg,1952,743,703,1295,5089,false
Greg,1953,757,703,1295,5390,false
Greg,1954,926,703,1295,5390,false
Greg,1955,1149,743,1295,5390,false
Greg,1956,1579,757,1160,5390,false
Greg,1957,2963,926,835,5390,false
Greg,1958,3786,1149,926,5367,false
Greg,1959,4636,1579,1149,4840,false
Greg,1960,5089,2963,1579,3973,false
Greg,1961,5390,3786,2963,3178,true
Greg,1962,5367,3178,3786,2449,false
Greg,1963,4840,2449,4636,2086,false
Greg,1964,3973,2086,5089,2032,false
Greg,1965,3178,2032,5390,1999,false
Greg,1966,2449,1971,5390,1999,false
Greg,1967,2086,1971,5390,1686,false
Greg,1968,2032,1686,5390,1422,false
Greg,1969,1971,1422,5390,1286,false
Greg,1970,1999,1286,5367,1086,false
Greg,1971,1686,1086,4840,934,false
Greg,1972,1422,934,3973,843,false
Greg,1973,1286,843,3178,810,false
Greg,1974,1086,810,2449,681,false
Greg,1975,934,681,2086,547,false
Greg,1976,843,547,2032,528,false
Greg,1977,810,528,1999,425,false
Greg,1978,681,425,1999,397,false
Greg,1979,547,397,1686,387,false
Greg,1980,528,387,1422,338,false
Greg,1981,425,338,1286,276,false
Greg,1982,397,276,1086,229,false
Greg,1983,387,214,934,229,false
Greg,1984,338,214,843,177,false
Greg,1985,276,123,810,177,false
Greg,1986,214,123,681,145,false
Greg,1987,229,123,547,114,false
Greg,1988,123,84,528,114,false
Greg,1989,177,84,425,95,false
Greg,1990,145,77,397,95,false
Greg,1991,84,77,387,77,false
Greg,1992,114,77,338,61,false
Greg,1993,77,61,276,56,false
Greg,1994,95,38,229,56,false
Greg,1995,77,38,229,45,false
Greg,1996,61,38,177,45,false
Greg,1997,38,38,177,45,false
Greg,1998,56,38,145,45,false
Greg,1999,41,33,114,45,false
Greg,2000,39,29,114,45,false
Greg,2001,45,29,95,40,false
Greg,2002,33,29,95,35,false
Greg,2003,29,29,77,30,false
Greg,2004,45,29,61,30,false
Greg,2005,40,29,56,26,false
Greg,2006,35,21,56,26,false
Greg,2007,30,14,45,26,false
Greg,2008,30,14,45,26,false
Greg,2009,21,9,45,26,false
Greg,2010,14,9,45,15,false
Greg,2011,16,6,45,15,false
Greg,2012,9,6,45,15,false
Greg,2013,26,6,40,5,false
Greg,2014,6,5,35,,false
Greg,2015,9,5,30,,false
Greg,2016,15,5,30,,false
Greg,2017,5,5,26,,false
Nathan,1910,212,212,,922,false
Nathan,1911,325,212,,922,false
Nathan,1912,544,212,,922,false
